Artículo: Todos
Rubro: Todos
Super Rubro: Todos
Grupo Super Rubro: Todos
Depósito: DEPOSITO CENTRAL
Marca: Todas
Mostrar Stock: TODOS
Descripción: Todos
Observaciones: Todos
Ver Detalle Lotes por depósito: NO
Hasta la fecha: 21/09/2026
Stock Mayor a: Todos
Proveedor: Todos
Código;Lote;Artículo;Rubro;Stock;Stock en Tránsito;Stock Mínimo;Stock Optimo;Stock Máximo;CodigoArticulo;Observaciones;CodigoMarca;Peso Kg.;Peso Total;Volumen cm3;Volumen Total;Codigo de Barra;Marca;Fecha Alta;Foto;Comercializa como;Unidad de Medida;
="2120289";="000";=" 003027000012253 AUTOGENA FERROLAN - REGULADOR DE OXIGENO PROFESIONAL";="ACCESORIOS";="0,000";="0,000";="0,000";="0,000";="0,000";="18557";="-";="112";="0,0000";="0,0000";="0,0000";="0,0000";="-";="FERROLAN";="18/07/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2121126";="000";=" CI-3200  CAJA ESTANCA DE PASE PVC 115X115X80 TAAD";="CAJA ELECTRICIDAD";="20,000";="0,000";="0,000";="0,000";="0,000";="19395";="-";="139";="0,0000";="0,0000";="0,0000";="0,0000";="-";="PENTA";="18/11/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00152";="000";=" DESTORNILLADOR JUEGO P3000/2H 2PIEZAS";="DESTORNILLADORES";="1,000";="0,000";="0,000";="0,000";="0,000";="17885";="-";="017";="0,0000";="0,0000";="0,0000";="0,0000";="-";="BAHCO";="17/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00011";="000";=" IN0311 CABLE TIPO TALLER 2X1,5MM NEGRO I.N.C.A.";="TIPO TALLER";="-50,000";="0,000";="0,000";="0,000";="0,000";="17738";="-";="049";="0,0000";="0,0000";="0,0000";="0,0000";="-";="I.N.C.A";="11/06/2025";="-";="BIEN DE CAMBIO";="METROS";
="2120535";="000";=" IN0312 CABLE TIPO TALLER 2X2,5MM NEGRO I.N.C.A";="TIPO TALLER";="0,000";="0,000";="0,000";="0,000";="0,000";="18804";="-";="049";="0,0000";="0,0000";="0,0000";="0,0000";="-";="I.N.C.A";="05/08/2025";="-";="BIEN DE CAMBIO";="METROS";
="00112";="000";=" PINZA PUNTA BAHCO - 1/2 CAÑA - 2471G-180 ";="PINZA PUNTA";="-1,000";="0,000";="0,000";="0,000";="0,000";="17845";="-";="017";="0,0000";="0,0000";="0,0000";="0,0000";="-";="BAHCO";="13/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120556";="000";=" ST00118-POXIPOL MET. 10 MIN. 108G / 70ML";="POXIPOL";="2,000";="0,000";="0,000";="0,000";="0,000";="18825";="-";="105";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIPOL";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120571";="000";=" ST00126-POXI-MIX INTERIOR/EXTERIOR 500G";="POXI-MIX";="0,000";="0,000";="0,000";="0,000";="0,000";="18840";="-";="131";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIMIX";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00621";="000";=" ST00187-POXILINA  10MIN, 70G ";="POXILINA";="56,000";="0,000";="0,000";="0,000";="0,000";="18356";="-";="108";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXILINA";="08/07/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120572";="000";=" ST00518-POXI-MIX INTERIOR/EXTERIOR 1,25KG";="POXI-MIX";="0,000";="0,000";="0,000";="0,000";="0,000";="18841";="-";="131";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIMIX";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120565";="000";=" ST00600-LA GOTITA PROFESIONAL 10ML";="LA GOTITA";="6,000";="0,000";="0,000";="0,000";="0,000";="18834";="-";="106";="0,0000";="0,0000";="0,0000";="0,0000";="-";="LA GOTITA";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00616";="000";=" ST01307-POXI-RAN  POMO 23G ";="POXIRAN";="15,000";="0,000";="0,000";="0,000";="0,000";="18351";="-";="060";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIRAN";="08/07/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120561";="000";=" ST01308-POXI-RAN  POMO 45G ";="POXIRAN";="4,000";="0,000";="0,000";="0,000";="0,000";="18830";="-";="060";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIRAN";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120562";="000";=" ST01309-POXI-RAN  POMO 90G ";="POXIRAN";="4,000";="0,000";="0,000";="0,000";="0,000";="18831";="-";="060";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIRAN";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00618";="000";=" ST01452-POXIPOL MET 10 MIN, 21G / 14ML";="POXIPOL";="9,000";="0,000";="0,000";="0,000";="0,000";="18353";="-";="105";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIPOL";="08/07/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120566";="000";=" ST01673-LA GOTITA GEL 3G";="LA GOTITA";="14,000";="0,000";="0,000";="0,000";="0,000";="18835";="-";="106";="0,0000";="0,0000";="0,0000";="0,0000";="-";="LA GOTITA";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="00619";="000";=" ST01718-LA GOTITA POMO 2ML";="LA GOTITA";="27,000";="0,000";="0,000";="0,000";="0,000";="18354";="-";="106";="0,0000";="0,0000";="0,0000";="0,0000";="-";="LA GOTITA";="08/07/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120523";="000";=" ST01858-UNIPOX TRADICIONAL 25ML";="UNIPOX";="32,000";="0,000";="0,000";="0,000";="0,000";="18792";="-";="114";="0,0000";="0,0000";="0,0000";="0,0000";="-";="UNIPOX";="02/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120563";="000";=" ST01860-UNIPOX TRADICIONAL 100ML";="UNIPOX";="0,000";="0,000";="0,000";="0,000";="0,000";="18832";="-";="114";="0,0000";="0,0000";="0,0000";="0,0000";="-";="UNIPOX";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120573";="000";=" ST03085-POXI-MIX INTERIOR/EXTERIOR 3KG";="POXI-MIX";="0,000";="0,000";="0,000";="0,000";="0,000";="18842";="-";="131";="0,0000";="0,0000";="0,0000";="0,0000";="-";="POXIMIX";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120522";="000";=" ST03293-UNIPOX EXTRAFUERTE 25ML";="UNIPOX";="21,000";="0,000";="0,000";="0,000";="0,000";="18791";="-";="114";="0,0000";="0,0000";="0,0000";="0,0000";="-";="UNIPOX";="02/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2120564";="000";=" ST03294-UNIPOX EXTRAFUERTE 100ML";="UNIPOX";="1,000";="0,000";="0,000";="0,000";="0,000";="18833";="-";="114";="0,0000";="0,0000";="0,0000";="0,0000";="-";="UNIPOX";="06/08/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2121236";="000";=" ZI-1010  PROLONGADOR 5 TOMAS C/INTERRUPTOR Y CABLE 3 MTRS. MV";="ZAPATILLA";="-1,000";="0,000";="0,000";="0,000";="0,000";="19505";="-";="080";="0,0000";="0,0000";="0,0000";="0,0000";="-";="VARIA";="04/12/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="1302021107922";="000";="001002000000026 ABRAZADERA GANCHO RETEN. - 2`";="ABRAZADERAS P/ELECTRICIDAD";="0,000";="0,000";="0,000";="0,000";="0,000";="000001";="-";="001";="0,0000";="0,0000";="0,0000";="0,0000";="-";="ENFER";="09/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="1302021107921";="000";="001002000000027 ABRAZADERA GANCHO RETEN. - 2 1/2`";="ABRAZADERAS P/ELECTRICIDAD";="0,000";="0,000";="0,000";="0,000";="0,000";="000002";="-";="001";="0,0000";="0,0000";="0,0000";="0,0000";="-";="ENFER";="09/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="1302021107920";="000";="001002000000028 ABRAZADERA PINZA ANCLAJE - PKD -20";="ABRAZADERAS P/ELECTRICIDAD";="0,000";="0,000";="0,000";="0,000";="0,000";="000003";="-";="001";="0,0000";="0,0000";="0,0000";="0,0000";="-";="ENFER";="09/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="1302021107919";="000";="001002000000029 ABRAZADERA PINZA ANCLAJE PKR 10 TF";="ABRAZADERAS P/ELECTRICIDAD";="0,000";="0,000";="0,000";="0,000";="0,000";="000004";="-";="001";="0,0000";="0,0000";="0,0000";="0,0000";="-";="ENFER";="09/06/2025";="-";="BIEN DE CAMBIO";="UNIDAD";
="2122101";="000";="001015000001026 CABLE UNIPOLAR KALOP - 1.5 MM ROJO ROLLOX100M NORMA IRAM ";="TIPO TALLER";="-30,000";="0,000";="0,000";="0,000";="0,000";="20370";="-";="067";="0,0000";="0,0000";="0,0000";="0,0000";="-";="KALOP";="02/09/2026";="-";="BIEN DE CAMBIO";="METROS";
="2122088";="000";="001015000001029 CABLE UNIPOLAR KALOP - 1.5MM VERDE-AM. ROLLOX100M NORMA IRAM";="TIPO TALLER";="-25,000";="0,000";="0,000";="0,000";="0,000";="20357";="-";="067";="0,0000";="0,0000";="0,0000";="0,0000";="-";="KALOP";="24/08/2026";="-";="BIEN DE CAMBIO";="METROS";
